Time (seconds),Speed,Grade,Road Type
0,3.726388888888888,0.008957073897822,No Charging
1,3.726388888888888,0.008957073897822,No Charging
2,3.726388888888888,0.008957073897822,No Charging
3,3.726388888888888,0.008957073897822,No Charging
4,3.726388888888888,0.008957073897822,No Charging
5,3.726388888888888,0.008957073897822,No Charging
6,3.726388888888888,0.008957073897822,No Charging
7,3.726388888888888,0.008957073897822,No Charging
8,3.726388888888888,0.008957073897822,No Charging
9,3.7046662176666962,0.008846807056098836,No Charging
10,1.130555555555557,-0.004219682329744,No Charging
11,1.130555555555557,-0.004219682329744,No Charging
12,1.130555555555557,-0.004219682329744,No Charging
13,1.130555555555557,-0.004219682329744,No Charging
14,1.130555555555557,-0.004219682329744,No Charging
15,1.130555555555557,-0.004219682329744,No Charging
16,1.130555555555557,-0.004219682329744,No Charging
17,1.130555555555557,-0.004219682329744,No Charging
18,1.130555555555557,-0.004219682329744,No Charging
19,1.130555555555557,-0.004219682329744,No Charging
20,1.130555555555557,-0.004219682329744,No Charging
21,1.130555555555557,-0.004219682329744,No Charging
22,1.130555555555557,-0.004219682329744,No Charging
23,1.130555555555557,-0.004219682329744,No Charging
24,1.130555555555557,-0.004219682329744,No Charging
25,1.130555555555557,-0.004219682329744,No Charging
26,1.130555555555557,-0.004219682329744,No Charging
27,1.130555555555557,-0.004219682329744,No Charging
28,1.130555555555557,-0.004219682329744,No Charging
29,1.130555555555557,-0.004219682329744,No Charging
30,1.130555555555557,-0.004219682329744,No Charging
31,1.130555555555557,-0.004219682329744,No Charging
32,1.130555555555557,-0.004219682329744,No Charging
33,1.130555555555557,-0.001629581272555468,No Charging
34,1.130555555555557,0.008031522384645,No Charging
35,1.130555555555557,0.008031522384645,No Charging
36,1.130555555555557,0.008031522384645,No Charging
37,1.130555555555557,0.008031522384645,No Charging
38,1.130555555555557,0.008031522384645,No Charging
39,1.130555555555557,0.008031522384645,No Charging
40,1.130555555555557,0.008031522384645,No Charging
41,1.130555555555557,0.008031522384645,No Charging
42,1.130555555555557,0.008031522384645,No Charging
43,1.130555555555557,0.008031522384645,No Charging
44,1.130555555555557,0.008031522384645,No Charging
45,1.130555555555557,0.008031522384645,No Charging
46,1.130555555555557,0.008031522384645,No Charging
47,1.130555555555557,0.008031522384645,No Charging
48,1.3728524098932295,0.006208938685731407,No Charging
49,3.537962962962962,-0.010077262021073,No Charging
50,3.537962962962962,-0.010077262021073,No Charging
51,3.537962962962962,-0.010077262021073,No Charging
52,3.537962962962962,-0.010077262021073,No Charging
53,3.537962962962962,-0.010077262021073,No Charging
54,3.537962962962962,-0.010077262021073,No Charging
55,3.537962962962962,-0.010077262021073,No Charging
56,3.537962962962962,-0.010077262021073,No Charging
57,3.537962962962962,-0.010077262021073,No Charging
58,3.537962962962962,-0.010077262021073,No Charging
59,3.537962962962962,-0.010077262021073,No Charging
60,3.537962962962962,-0.010077262021073,No Charging
61,3.537962962962962,-0.010077262021073,No Charging
62,3.537962962962962,-0.010077262021073,No Charging
63,3.537962962962962,-0.010077262021073,No Charging
64,3.537962962962962,-0.010077262021073,No Charging
65,3.537962962962962,-0.010077262021073,No Charging
66,3.537962962962962,-0.010077262021073,No Charging
67,3.537962962962962,-0.010077262021073,No Charging
68,3.537962962962962,-0.010077262021073,No Charging
69,3.537962962962962,-0.010077262021073,No Charging
70,3.537962962962962,-0.010077262021073,No Charging
71,3.537962962962962,-0.010077262021073,No Charging
72,3.537962962962962,-0.010077262021073,No Charging
73,3.537962962962962,-0.010077262021073,No Charging
74,3.537962962962962,-0.010077262021073,No Charging
75,3.537962962962962,-0.010077262021073,No Charging
76,3.537962962962962,-0.010077262021073,No Charging
77,3.537962962962962,-0.010077262021073,No Charging
78,3.4262131573585544,-0.008094351470197025,No Charging
79,3.116666666666667,-0.002601697598812,No Charging
80,3.116666666666667,-0.002601697598812,No Charging
81,3.116666666666667,-0.002601697598812,No Charging
82,3.116666666666667,-0.002601697598812,No Charging
83,3.116666666666667,-0.002601697598812,No Charging
84,3.116666666666667,-0.002601697598812,No Charging
85,3.116666666666667,-0.002601697598812,No Charging
86,3.116666666666667,-0.002601697598812,No Charging
87,3.116666666666667,-0.002601697598812,No Charging
88,3.116666666666667,-0.002601697598812,No Charging
89,3.116666666666667,-0.002601697598812,No Charging
