Time (seconds),Speed,Grade,Road Type
0,1.458333333333333,-0.0071063004781,No Charging
1,1.458333333333333,-0.0071063004781,No Charging
2,1.458333333333333,-0.0071063004781,No Charging
3,1.458333333333333,-0.0071063004781,No Charging
4,1.458333333333333,-0.0071063004781,No Charging
5,1.458333333333333,-0.0071063004781,No Charging
6,1.458333333333333,-0.0071063004781,No Charging
7,1.458333333333333,-0.0071063004781,No Charging
8,1.458333333333333,-0.0071063004781,No Charging
9,1.458333333333333,-0.0071063004781,No Charging
10,1.458333333333333,-0.0071063004781,No Charging
11,1.458333333333333,-0.0071063004781,No Charging
12,1.458333333333333,-0.0071063004781,No Charging
13,1.458333333333333,-0.0071063004781,No Charging
14,1.458333333333333,-0.0071063004781,No Charging
15,1.458333333333333,-0.0071063004781,No Charging
16,1.458333333333333,-0.0071063004781,No Charging
17,1.458333333333333,-0.0071063004781,No Charging
18,1.458333333333333,-0.0071063004781,No Charging
19,1.458333333333333,-0.0071063004781,No Charging
20,1.458333333333333,-0.0071063004781,No Charging
21,1.458333333333333,-0.0071063004781,No Charging
22,1.458333333333333,-0.0071063004781,No Charging
23,1.458333333333333,-0.0071063004781,No Charging
24,1.458333333333333,-0.0071063004781,No Charging
25,1.458333333333333,-0.0071063004781,No Charging
26,1.458333333333333,-0.0071063004781,No Charging
27,1.458333333333333,-0.0071063004781,No Charging
28,1.458333333333333,-0.0071063004781,No Charging
29,1.458333333333333,-0.0071063004781,No Charging
30,1.458333333333333,-0.0071063004781,No Charging
31,1.458333333333333,-0.0071063004781,No Charging
32,1.458333333333333,-0.0071063004781,No Charging
33,1.458333333333333,-0.0071063004781,No Charging
34,1.458333333333333,-0.0071063004781,No Charging
35,1.458333333333333,-0.0071063004781,No Charging
36,1.458333333333333,-0.0071063004781,No Charging
37,1.458333333333333,-0.0071063004781,No Charging
38,1.458333333333333,-0.0071063004781,No Charging
39,1.458333333333333,-0.0071063004781,No Charging
40,1.458333333333333,-0.0071063004781,No Charging
41,1.458333333333333,-0.0071063004781,No Charging
42,1.458333333333333,-0.0071063004781,No Charging
43,1.458333333333333,-0.0071063004781,No Charging
44,1.458333333333333,-0.0071063004781,No Charging
45,1.458333333333333,-0.0071063004781,No Charging
46,1.458333333333333,-0.0071063004781,No Charging
47,1.458333333333333,-0.0071063004781,No Charging
48,1.458333333333333,-0.0071063004781,No Charging
49,1.458333333333333,-0.0071063004781,No Charging
50,1.458333333333333,-0.0071063004781,No Charging
51,1.458333333333333,-0.0071063004781,No Charging
52,1.458333333333333,-0.0071063004781,No Charging
53,1.458333333333333,-0.0071063004781,No Charging
54,1.458333333333333,-0.0071063004781,No Charging
55,1.458333333333333,-0.0071063004781,No Charging
56,1.458333333333333,-0.0071063004781,No Charging
57,1.458333333333333,-0.0071063004781,No Charging
58,1.458333333333333,-0.0071063004781,No Charging
59,1.458333333333333,-0.0071063004781,No Charging
60,1.458333333333333,-0.0071063004781,No Charging
61,1.458333333333333,-0.0071063004781,No Charging
62,1.458333333333333,-0.0071063004781,No Charging
63,1.458333333333333,-0.0071063004781,No Charging
64,1.458333333333333,-0.0071063004781,No Charging
65,1.458333333333333,-0.0071063004781,No Charging
66,1.458333333333333,-0.0071063004781,No Charging
67,1.458333333333333,-0.0071063004781,No Charging
68,1.458333333333333,-0.0071063004781,No Charging
69,1.458333333333333,-0.0071063004781,No Charging
70,1.458333333333333,-0.0071063004781,No Charging
71,1.458333333333333,-0.0071063004781,No Charging
72,1.458333333333333,-0.0071063004781,No Charging
73,1.458333333333333,-0.0071063004781,No Charging
74,1.458333333333333,-0.0071063004781,No Charging
75,1.458333333333333,-0.0071063004781,No Charging
76,1.458333333333333,-0.0071063004781,No Charging
77,1.458333333333333,-0.0071063004781,No Charging
78,1.458333333333333,-0.0071063004781,No Charging
79,1.458333333333333,-0.0071063004781,No Charging
80,1.458333333333333,-0.0071063004781,No Charging
81,1.458333333333333,-0.0071063004781,No Charging
82,1.458333333333333,-0.0071063004781,No Charging
83,1.458333333333333,-0.0071063004781,No Charging
84,1.458333333333333,-0.0071063004781,No Charging
85,1.458333333333333,-0.0071063004781,No Charging
86,1.458333333333333,-0.0071063004781,No Charging
87,1.458333333333333,-0.0071063004781,No Charging
88,1.458333333333333,-0.0071063004781,No Charging
89,1.458333333333333,-0.0071063004781,No Charging
90,1.458333333333333,-0.0071063004781,No Charging
91,1.458333333333333,-0.0071063004781,No Charging
92,1.458333333333333,-0.0071063004781,No Charging
93,1.458333333333333,-0.0071063004781,No Charging
94,1.458333333333333,-0.0071063004781,No Charging
95,1.458333333333333,-0.0071063004781,No Charging
96,1.458333333333333,-0.0071063004781,No Charging
97,1.458333333333333,-0.0071063004781,No Charging
98,1.458333333333333,-0.0071063004781,No Charging
99,1.458333333333333,-0.0071063004781,No Charging
100,1.458333333333333,-0.0071063004781,No Charging
101,1.458333333333333,-0.0071063004781,No Charging
102,1.458333333333333,-0.0071063004781,No Charging
103,1.458333333333333,-0.0071063004781,No Charging
104,1.458333333333333,-0.0071063004781,No Charging
105,1.458333333333333,-0.0071063004781,No Charging
106,1.458333333333333,-0.0071063004781,No Charging
107,1.458333333333333,-0.0071063004781,No Charging
108,1.458333333333333,-0.0071063004781,No Charging
109,1.458333333333333,-0.0071063004781,No Charging
110,1.458333333333333,-0.0071063004781,No Charging
111,1.458333333333333,-0.0071063004781,No Charging
112,1.458333333333333,-0.0071063004781,No Charging
113,1.458333333333333,-0.0071063004781,No Charging
114,1.458333333333333,-0.0071063004781,No Charging
115,1.458333333333333,-0.0071063004781,No Charging
116,1.458333333333333,-0.0071063004781,No Charging
117,1.458333333333333,-0.0071063004781,No Charging
118,1.458333333333333,-0.0071063004781,No Charging
119,1.458333333333333,-0.0071063004781,No Charging
120,1.458333333333333,-0.0071063004781,No Charging
121,1.458333333333333,-0.0071063004781,No Charging
122,1.458333333333333,-0.0071063004781,No Charging
123,1.458333333333333,-0.0071063004781,No Charging
124,1.458333333333333,-0.0071063004781,No Charging
125,1.458333333333333,-0.0071063004781,No Charging
126,1.458333333333333,-0.0071063004781,No Charging
127,1.458333333333333,-0.0071063004781,No Charging
128,1.458333333333333,-0.0071063004781,No Charging
129,1.458333333333333,-0.0071063004781,No Charging
130,1.458333333333333,-0.0071063004781,No Charging
131,1.458333333333333,-0.0071063004781,No Charging
132,1.458333333333333,-0.0071063004781,No Charging
133,1.458333333333333,-0.0071063004781,No Charging
134,1.458333333333333,-0.0071063004781,No Charging
135,1.458333333333333,-0.0071063004781,No Charging
136,1.458333333333333,-0.0071063004781,No Charging
137,1.458333333333333,-0.0071063004781,No Charging
138,1.458333333333333,-0.0071063004781,No Charging
139,1.458333333333333,-0.0071063004781,No Charging
140,1.458333333333333,-0.0071063004781,No Charging
141,1.458333333333333,-0.0071063004781,No Charging
142,1.458333333333333,-0.0071063004781,No Charging
143,1.458333333333333,-0.0071063004781,No Charging
144,1.458333333333333,-0.0071063004781,No Charging
145,1.458333333333333,-0.0071063004781,No Charging
146,1.458333333333333,-0.0071063004781,No Charging
147,1.458333333333333,-0.0071063004781,No Charging
148,1.458333333333333,-0.0071063004781,No Charging
149,1.458333333333333,-0.0071063004781,No Charging
150,1.458333333333333,-0.0071063004781,No Charging
151,1.458333333333333,-0.0071063004781,No Charging
152,1.458333333333333,-0.0071063004781,No Charging
153,1.458333333333333,-0.0071063004781,No Charging
154,2.2012203706691222,0.004720642594009918,No Charging
155,3.371040189125296,0.023344459812742,No Charging
156,3.371040189125296,0.023344459812742,No Charging
157,3.371040189125296,0.023344459812742,No Charging
158,3.371040189125296,0.023344459812742,No Charging
159,3.371040189125296,0.023344459812742,No Charging
160,3.371040189125296,0.023344459812742,No Charging
161,3.371040189125296,0.023344459812742,No Charging
162,3.371040189125296,0.023344459812742,No Charging
163,3.371040189125296,0.023344459812742,No Charging
164,3.371040189125296,0.023344459812742,No Charging
165,3.371040189125296,0.023344459812742,No Charging
166,3.371040189125296,0.023344459812742,No Charging
167,3.371040189125296,0.023344459812742,No Charging
168,3.371040189125296,0.023344459812742,No Charging
169,3.371040189125296,0.023344459812742,No Charging
170,3.371040189125296,0.023344459812742,No Charging
