Time (seconds),Speed,Grade,Road Type
0,0.98406437851464,-0.144837875749788,No Charging
1,0.98406437851464,-0.046484428890671,No Charging
2,0.98406437851464,-0.027167203840399,No Charging
3,0.98406437851464,-0.027167203840399,No Charging
4,0.98406437851464,-0.027167203840399,No Charging
5,0.98406437851464,-0.027167203840399,No Charging
6,0.98406437851464,-0.027167203840399,No Charging
7,0.98406437851464,-0.027167203840399,No Charging
8,0.98406437851464,-0.027167203840399,No Charging
9,0.98406437851464,-0.027167203840399,No Charging
10,0.98406437851464,-0.027167203840399,No Charging
11,0.98406437851464,-0.027167203840399,No Charging
12,0.98406437851464,-0.027167203840399,No Charging
13,0.98406437851464,-0.027167203840399,No Charging
14,0.98406437851464,-0.027167203840399,No Charging
15,0.98406437851464,-0.027167203840399,No Charging
16,0.98406437851464,-0.027167203840399,No Charging
17,0.98406437851464,-0.027167203840399,No Charging
18,0.98406437851464,-0.027167203840399,No Charging
19,0.98406437851464,-0.027167203840399,No Charging
20,0.9840643785146401,-0.025163647481640145,No Charging
21,0.98406437851464,-0.012633320569955,No Charging
22,0.98406437851464,-0.012633320569955,No Charging
23,0.98406437851464,-0.012633320569955,No Charging
24,0.98406437851464,-0.012633320569955,No Charging
25,0.98406437851464,-0.012633320569955,No Charging
26,0.98406437851464,-0.012633320569955,No Charging
27,0.98406437851464,-0.012633320569955,No Charging
28,0.98406437851464,-0.012633320569955,No Charging
29,0.98406437851464,-0.012633320569955,No Charging
30,0.98406437851464,-0.012633320569955,No Charging
31,0.98406437851464,-0.012633320569955,No Charging
32,0.98406437851464,-0.012633320569955,No Charging
33,0.98406437851464,-0.012633320569955,No Charging
34,0.98406437851464,-0.012633320569955,No Charging
35,0.98406437851464,-0.012633320569955,No Charging
36,0.98406437851464,-0.012633320569955,No Charging
37,0.98406437851464,-0.012633320569955,No Charging
38,0.98406437851464,-0.012633320569955,No Charging
39,0.98406437851464,-0.012633320569955,No Charging
40,0.98406437851464,-0.012633320569955,No Charging
41,0.98406437851464,-0.012633320569955,No Charging
42,0.98406437851464,-0.012633320569955,No Charging
43,0.98406437851464,-0.012633320569955,No Charging
44,0.98406437851464,-0.012633320569955,No Charging
45,0.98406437851464,-0.012633320569955,No Charging
46,0.98406437851464,-0.012633320569955,No Charging
47,0.98406437851464,-0.012633320569955,No Charging
48,0.98406437851464,-0.012633320569955,No Charging
49,0.98406437851464,-0.012633320569955,No Charging
50,0.98406437851464,-0.012633320569955,No Charging
51,0.98406437851464,-0.012633320569955,No Charging
52,0.98406437851464,-0.012633320569955,No Charging
53,0.98406437851464,-0.012633320569955,No Charging
54,0.98406437851464,-0.012633320569955,No Charging
55,0.98406437851464,-0.012633320569955,No Charging
56,0.98406437851464,-0.012633320569955,No Charging
57,0.98406437851464,-0.012633320569955,No Charging
58,0.98406437851464,-0.012633320569955,No Charging
59,0.98406437851464,-0.012633320569955,No Charging
60,0.98406437851464,-0.012633320569955,No Charging
61,0.98406437851464,-0.011535000376143826,No Charging
62,2.4602435320757654,-0.007596139421771493,No Charging
63,3.663888888888891,-0.028820650908337,No Charging
64,3.663888888888891,-0.028820650908337,No Charging
65,3.663888888888891,-0.028820650908337,No Charging
66,3.663888888888891,-0.028820650908337,No Charging
67,3.663888888888891,-0.028820650908337,No Charging
68,3.663888888888891,-0.028820650908337,No Charging
69,3.663888888888891,-0.028820650908337,No Charging
70,3.663888888888891,-0.010452317944362258,No Charging
71,3.6638888888888914,0.005570615997852794,No Charging
72,3.663888888888891,0.007249258037154,No Charging
73,3.663888888888891,0.007249258037154,No Charging
74,3.663888888888891,0.008996562928706642,No Charging
75,3.663888888888891,0.024108143166885896,No Charging
76,3.663888888888891,0.04338791184056091,No Charging
77,3.663888888888891,0.011564657169301575,No Charging
78,3.663888888888891,-0.014769506916482716,No Charging
79,3.663888888888891,0.016385417329579717,No Charging
80,3.663888888888891,0.06654539043921315,No Charging
81,3.663888888888891,0.08887112790259034,No Charging
82,3.6638888888888905,0.08470111926425869,No Charging
83,3.6638888888888914,0.08405837775168326,No Charging
84,3.663888888888891,0.031203327612828704,No Charging
85,3.663888888888891,-0.002348829266122081,No Charging
86,3.663888888888891,-0.011685969555286644,No Charging
87,3.6638888888888905,-0.03424451168115096,No Charging
88,2.5460691602729506,-0.009248230929597458,No Charging
89,1.363888888888889,-0.00532931869775,No Charging
90,1.363888888888889,-0.00532931869775,No Charging
91,1.363888888888889,-0.00532931869775,No Charging
92,1.363888888888889,-0.00532931869775,No Charging
93,1.363888888888889,-0.00532931869775,No Charging
94,1.363888888888889,-0.00532931869775,No Charging
95,1.363888888888889,-0.00532931869775,No Charging
96,1.363888888888889,-0.00532931869775,No Charging
97,1.363888888888889,-0.00532931869775,No Charging
98,1.363888888888889,-0.00532931869775,No Charging
99,1.363888888888889,-0.00532931869775,No Charging
100,1.363888888888889,-0.00532931869775,No Charging
101,1.363888888888889,-0.00532931869775,No Charging
102,1.363888888888889,-0.00532931869775,No Charging
103,1.363888888888889,-0.00532931869775,No Charging
104,1.363888888888889,-0.00532931869775,No Charging
105,1.363888888888889,-0.00532931869775,No Charging
